Year,State/UT,City/Town/Village,S02 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
2022,Odisha,Angul,10,27,100,36
2022,Odisha,Balasore,4,11,79,49
2022,Odisha,Berhampur,5,21,66,29
2022,Odisha,Bhubaneshwar,2,17,108,38
2022,Odisha,Bonaigarh,11,14,107,41
2022,Odisha,Brajrajnagar,24,19,73,34
2022,Odisha,Cuttack,4,19,103,35
2022,Odisha,Jharsuguda,9,14,111,55
2022,Odisha,Kalinga Nagar,6,14,102,59
2022,Odisha,Paradeep,14,9,91,39
2022,Odisha,Rajgangpur,11,12,118,29
2022,Odisha,Rourkela,11,13,110,42
2022,Odisha,Sambalpur,7,25,102,36
2022,Odisha,Talcher,24,28,80,39
2022,Pondicherry (UT),Pondicherry,9,11,51,25
2022,Punjab,Amritsar,14,37,117,51
2022,Punjab,Bhatinda,11,21,119,38
2022,Punjab,Jalandhar,13,23,126,46
2022,Punjab,Khanna,13,26,114,47
2022,Punjab,Ludhiana,11,23,172,59
2022,Punjab,Mandi Gobindgarh,11,23,132,72
2022,Punjab,Patiala,6,19,105,48
2022,Punjab,Rupnagar,8,11,119,45
2022,Rajasthan,Ajmer,18,26,113,51
2022,Rajasthan,Alwar,13,25,118,41
2022,Rajasthan,Bhiwadi,18,58,210,94
2022,Rajasthan,Jaipur,11,39,143,57
2022,Rajasthan,Jodhpur,11,32,155,69
2022,Rajasthan,Kota,10,27,126,60
2022,Rajasthan,Pali,9,21,105,58
2022,Rajasthan,Udaipur,8,28,130,54
2022,Sikkim,Gangtok,9,5,44,13
2022,Tamilnadu,Chengalpattu,49,27,80,41
2022,Tamilnadu,Chennai,11,16,61,27
2022,Tamilnadu,Coimbatore,14,16,50,27
2022,Tamilnadu,Cuddalore,16,18,45,17
2022,Tamilnadu,Dharmapuri,9,23,44,23
2022,Tamilnadu,Dindigul,34,45,44,27
2022,Tamilnadu,Gummidipoondi,8,7,34,20
2022,Tamilnadu,Hosur,26,12,66,35
2022,Tamilnadu,Madurai,17,20,67,28
2022,Tamilnadu,Mettur,9,23,43,21
2022,Tamilnadu,Nagercoil,8,14,42,12
2022,Tamilnadu,Ooty,39,10,46,21
2022,Tamilnadu,Perambalur,10,13,34,14
2022,Tamilnadu,Ramanathapuram,10,3,46,20
2022,Tamilnadu,Salem,24,14,48,25
2022,Tamilnadu,Sivagangai,12,15,42,24
2022,Tamilnadu,Theni,13,19,54,25
2022,Tamilnadu,Tirupur,17,19,136,42
2022,Tamilnadu,Tiruvannamalai,5,14,52,17
2022,Tamilnadu,Tiruvarur,14,16,41,15
2022,Tamilnadu,Trichy,11,15,46,20
2022,Tamilnadu,Tuticorin,6,12,56,17
2022,Tamilnadu,Vellore,21,6,69,30
2022,Tamilnadu,Villupuram,14,17,42,16
2022,Telangana,Hyderabad,7,22,88,39
2022,Telangana,Karimnagar,6,29,83,40
2022,Telangana,Nalgonda,11,29,71,30
2022,Telangana,Nizamabad,7,25,56,30
2022,Telangana,Patencheru,9,31,83,37
2022,Telangana,Ramagundum,7,31,83,51
2022,Telangana,Sangareddy,9,32,88,48
2022,Tripura,Agartala,31,11,94,53
2022,Uttar Pradesh,Agra,14,21,129,66
2022,Uttar Pradesh,Allahabad,25,21,124,45
2022,Uttar Pradesh,Baghpat,21,36,145,74
2022,Uttar Pradesh,Bareilly,12,26,124,48
2022,Uttar Pradesh,Bulandshahr,14,26,183,73
2022,Uttar Pradesh,Firozabad,14,29,132,51
2022,Uttar Pradesh,Ghaziabad,16,42,211,87
2022,Uttar Pradesh,Gorakhpur,30,28,97,38
2022,Uttar Pradesh,Greater Noida,17,35,219,80
2022,Uttar Pradesh,Hapur,12,31,164,74
2022,Uttar Pradesh,Jhansi,15,19,129,47
2022,Uttar Pradesh,Kanpur,11,33,142,59
2022,Uttar Pradesh,Khurja,20,24,156,62
2022,Uttar Pradesh,Lucknow,10,31,148,63
2022,Uttar Pradesh,Meerut,15,41,168,78
2022,Uttar Pradesh,Moradabad,15,16,124,53
2022,Uttar Pradesh,Muzaffarnagar,15,23,180,93
2022,Uttar Pradesh,Noida,17,40,210,80
2022,Uttar Pradesh,Varanasi,20,28,103,38
2022,Uttar Pradesh,Vrindavan,32,12,104,41
2022,Uttarakhand,Dehradun,11,14,118,59
2022,Uttarakhand,Haldwani,8,25,114,31
2022,Uttarakhand,Kashipur,16,20,123,60
2022,Uttarakhand,Rishikesh,18,23,136,72
2022,West Bengal,Asansol+Raniganj,11,35,135,60
2022,West Bengal,Barrckpore,4,24,86,55
2022,West Bengal,Darjeeling,8,31,64,32
2022,West Bengal,Durgapur,20,26,156,62
2022,West Bengal,Haldia,14,25,94,36
2022,West Bengal,Howrah,14,25,131,65
2022,West Bengal,Kalyani,3,23,84,47
2022,West Bengal,Kolkata,8,34,101,44
2022,West Bengal,Siliguri,9,37,111,42
